"density","pH","sulphates","alcohol","quality","Wine_ID"
"0.9928","3.2","0.36","9.8","6","125"
"0.9912","3.3","0.48","11","6","126"
"0.994","3.1","0.42","10.5","5","127"
"0.9958","3.5","0.54","9.7","7","128"
"0.9924","3.3","0.57","10.9","7","129"
"0.9924","3.3","0.57","10.9","6","130"
"0.994","3.4","0.37","10.6","5","131"
"0.9958","3.5","0.54","9.7","7","132"
"0.9979","3.2","0.57","9","5","133"
"0.9982","3.2","0.51","9.2","5","134"
"0.9961","3.2","0.52","8.9","5","135"
"0.9979","3.3","0.56","9.6","5","136"
"0.992","3.1","0.38","10.7","6","137"
"0.9975","3.2","0.44","8.7","5","138"
"0.9917","3.2","0.54","10.8","7","139"
"0.9923","3.2","0.52","11.8","6","140"
"0.9927","3.3","0.43","10.2","5","141"
"0.9975","3.2","0.44","8.7","5","142"
"0.992","3.2","0.54","10.8","6","143"
"0.9947","3.2","0.53","9.7","6","144"
"0.9921","3.1","0.54","11.2","6","145"
"0.9905","3","0.39","10.9","6","146"
"0.9918","3.3","0.37","10.1","6","147"
"0.9951","3.4","0.36","9","4","148"
"0.9917","3.4","0.58","12","7","149"
"0.994","3","0.38","9.4","6","150"
"0.9934","3.1","0.32","11.5","7","151"
"0.9968","3.1","0.43","9.9","6","152"
"0.994","3","0.38","9.4","6","153"
"0.9919","3.1","0.45","10.4","5","154"
"0.9966","3.1","0.84","9.7","6","155"
"0.9979","2.9","0.42","8.9","6","156"
"0.9979","2.9","0.42","8.9","6","157"
"0.9898","3.3","0.42","12.4","7","158"
"0.9894","3.4","0.33","12.1","8","159"
"0.9894","3.4","0.33","12.1","8","160"
"0.9898","3.3","0.42","12.4","7","161"
"0.998","3","0.4","9.1","5","162"
"0.9932","3.3","0.39","10.6","5","163"
"0.9979","2.9","0.42","8.9","6","164"
"0.997","3.2","0.5","9.5","5","165"
"0.9972","3.2","0.49","9.8","5","166"
"0.9974","3.1","0.59","9.6","6","167"
"0.9896","3.1","0.44","12.6","7","168"
"0.9968","3.1","0.54","9.3","5","169"
"0.9958","2.9","0.29","10","5","170"
"0.9906","3.1","0.54","12.7","6","171"
"0.9917","3.1","0.39","11","6","172"
"0.9902","3","0.39","11.4","4","173"
"0.9918","3.4","0.33","11.5","7","174"
"0.999","3.1","0.64","10.2","5","175"
"0.9927","3.1","0.27","11.4","6","176"
"0.991","3","0.41","12.6","4","177"
"0.9972","3.3","0.39","9.4","5","178"
"0.9931","3.1","0.35","8.7","4","179"
"0.995","3.2","0.68","9.2","6","180"
"0.9951","3.2","0.66","9.3","6","181"
"0.9936","3.1","0.43","9.2","5","182"
"1.001","2.9","0.5","8.7","5","183"
"0.9979","3.2","0.58","9.6","6","184"
"0.997","3","0.63","9.3","5","185"
"0.9972","3","0.63","9.3","5","186"
"0.9954","3.1","0.61","9.9","6","187"
"0.9924","3.2","0.5","11","5","188"
"0.9906","3.3","0.57","12.7","8","189"
"0.9962","3.1","0.54","8.9","4","190"
"0.9962","3.1","0.55","8.9","6","191"
"1.001","2.9","0.5","8.7","5","192"
"0.9928","3","0.37","11.4","6","193"
"0.9942","3.4","0.42","9.6","5","194"
"0.9942","3","0.41","9.1","5","195"
"0.9942","3","0.39","9.1","6","196"
"0.9942","3","0.38","9.1","5","197"
"0.9961","3.1","0.47","8.9","5","198"
"0.998","3.1","0.49","8.8","5","199"
"0.9961","3.1","0.47","8.9","5","200"
"0.9984","3.2","0.5","9.3","5","201"
"0.998","3.1","0.49","8.8","5","202"
"0.9973","3.2","0.5","9.6","5","203"
"0.9949","3.3","0.53","12","6","204"
"0.9924","3.3","0.5","10.2","4","205"
"0.9972","3.2","0.43","8.8","5","206"
"0.9958","3.2","0.34","9.2","5","207"
"0.9968","3","0.51","9.9","4","208"
"0.9938","3.3","0.74","10.2","5","209"
"0.993","3.2","0.77","9.5","6","210"
"0.994","3.3","0.34","10.5","5","211"
"0.9918","3.3","0.59","11.2","7","212"
"0.9958","3.2","0.34","9.2","5","213"
"0.9944","3.4","0.37","9.7","6","214"
"0.9912","3.3","0.44","11.1","7","215"
"0.9961","3.3","0.38","9.4","5","216"
"0.9939","3","0.33","11","5","217"
"0.9961","3.3","0.38","9.4","5","218"
"0.9989","3.3","0.44","9.4","5","219"
"0.9938","3","0.32","11","5","220"
"0.9939","3","0.33","11","5","221"
"0.9971","3","0.55","9.1","6","222"
"0.9912","3.3","0.44","11.1","7","223"
"0.9936","3.4","0.39","9.1","6","224"
"0.9929","3.4","0.54","10.4","6","225"
"0.9998","3.3","0.39","8.7","5","226"
"0.9938","3.5","0.5","9.7","6","227"
"0.9969","3.2","0.52","9.1","6","228"
"0.9938","3.5","0.5","9.7","6","229"
"0.9998","3.3","0.39","8.7","5","230"
"0.9972","3.4","0.46","8.9","4","231"
"0.9976","3.3","0.51","9.6","6","232"
"0.9976","3.3","0.51","9.5","6","233"
"0.9979","3.1","0.44","9","6","234"
"0.9979","3.1","0.44","9","6","235"
"0.9979","3.1","0.44","9","6","236"
"0.9979","3.1","0.44","9","6","237"
"0.9972","3.3","0.5","9.6","6","238"
"0.9918","3.3","0.41","11.1","7","239"
"0.9982","3.5","0.64","9.6","6","240"
"0.9985","3.2","0.46","8.7","5","241"
"0.9944","3.1","0.5","10.4","5","242"
"0.9903","3.2","0.38","11.4","7","243"
"0.9934","3.3","0.58","9.7","6","244"
"0.9975","3.1","0.46","8.7","5","245"
"0.9923","3.4","0.79","11.3","6","246"
"0.99","3.2","0.61","12.6","7","247"
"0.9905","3.3","0.36","10.9","7","248"
"0.9905","3.3","0.37","10.9","7","249"
"0.996","3.4","0.45","10","5","250"
"0.9964","3.7","0.7","10","4","251"
"0.998","3","0.5","9.8","3","252"
"0.9975","3.1","0.46","8.7","5","253"
"0.9913","3.5","0.43","11.7","3","254"
"0.9932","3.2","0.52","9.3","6","255"
"0.9935","3.3","0.58","9.6","8","256"
"0.9927","3.3","0.41","11","7","257"
"0.9927","3.3","0.41","11","7","258"
"0.9912","3.3","0.5","11.8","6","259"
"0.9904","3.3","0.34","11.4","4","260"
"0.9939","3.3","0.42","10.2","6","261"
"0.9996","2.9","0.47","8.9","5","262"
"0.9944","3.2","0.33","10.2","5","263"
"0.9977","3.1","0.59","9.6","6","264"
"0.9912","3.1","0.48","10.6","6","265"
"0.9996","2.9","0.47","8.9","5","266"
"0.9965","3.3","0.51","9.2","6","267"
"0.9944","3.3","0.57","9.7","5","268"
"0.9945","3.3","0.57","9.7","6","269"
"0.9944","3.3","0.57","9.7","6","270"
"0.9965","3.3","0.51","9.2","6","271"
"0.9944","3.3","0.58","9.7","5","272"
"0.9972","3.3","0.38","9.3","5","273"
"0.9949","3.2","0.38","9","5","274"
"0.9966","3.1","0.61","9.5","5","275"
"0.9954","3.1","0.57","9.8","6","276"
"0.9954","3.1","0.58","9.8","6","277"
"0.9915","2.9","0.5","10.6","5","278"
"0.9919","3.1","0.47","10.6","4","279"
"0.9916","3.3","0.68","12.4","7","280"
"0.99","3.2","0.38","12.6","8","281"
"0.9909","3.3","0.6","12.3","8","282"
"0.9938","3.1","0.65","10.5","4","283"
"0.9982","3.2","0.49","9.3","5","284"
"0.9988","3.1","0.49","8.8","5","285"
"0.9961","3.1","0.47","8.8","5","286"
"0.9978","3.2","0.51","9.7","6","287"
"0.9979","3","0.48","9","7","288"
"0.9979","3","0.48","9","7","289"
"0.9979","3","0.48","9","7","290"
"0.9979","3","0.48","9","7","291"
"0.9945","3.5","0.46","10.5","6","292"
"1","3","0.44","9.1","5","293"
"0.9957","3.4","0.64","9.8","7","294"
"0.9968","3.2","0.38","8.5","3","295"
"0.9934","3.4","0.54","9.4","6","296"
"0.9976","3.1","0.57","9.4","5","297"
"0.9932","3.2","0.6","11.2","7","298"
"0.997","3.2","0.45","10","6","299"
"0.9923","3.2","0.45","10.3","6","300"
"0.9914","3.3","0.67","10.8","6","301"
"0.992","3.1","0.38","10.5","6","302"
"0.9914","3.3","0.67","10.8","6","303"
"0.9914","3.3","0.43","11.1","6","304"
"0.9949","3.2","0.41","9.9","6","305"
"0.9949","3.2","0.41","9.9","6","306"
"0.995","3.2","0.41","9.9","5","307"
"0.995","3.2","0.41","9.9","6","308"
"0.9927","3.2","0.42","10.4","7","309"
"0.9928","3.2","0.41","10.4","6","310"
"0.9917","3.4","0.71","11.5","7","311"
"0.9918","3.5","0.51","12.5","8","312"
"0.9954","3.4","0.45","10","6","313"
"0.9941","3.3","0.63","10","6","314"
"0.9941","3.3","0.62","10","5","315"
"0.9934","3.1","0.44","9.1","6","316"
"0.9927","3.2","0.38","10.6","6","317"
"0.9938","3.2","0.37","10.5","5","318"
"0.9933","3.5","0.43","11.5","7","319"
"0.9934","3.5","0.59","10.1","6","320"
"0.9927","3.6","0.61","10.3","7","321"
"0.9938","3.2","0.37","10.5","5","322"
"0.9927","3.2","0.38","10.6","6","323"
"0.9946","3.2","0.36","10.4","6","324"
"0.993","3","0.55","11.4","5","325"
"0.9946","3.2","0.59","10.5","5","326"
"0.9976","3","0.6","10","6","327"
"0.9944","3.2","0.65","10","6","328"
"0.9978","3.2","0.5","9.6","6","329"
"0.992","3.2","0.51","10.4","5","330"
"0.9912","3.4","0.6","12.5","8","331"
"0.9927","3.2","0.39","10.6","5","332"
"0.9906","3.3","0.4","11.8","6","333"
"0.9954","3.1","0.44","9.8","5","334"
"0.9923","3.3","0.38","10.8","5","335"
"0.9906","3.3","0.4","11.8","6","336"
"0.991","3.3","0.42","11.2","6","337"
"0.9972","3.3","0.42","9.3","6","338"
"0.9945","3.5","0.53","10.4","5","339"
"0.9934","3.4","0.85","10.2","7","340"
"0.9964","3.2","0.55","9","7","341"
"0.9948","3.2","0.54","10","6","342"
"0.9962","3.2","0.47","9.1","6","343"
"0.9931","3.3","0.76","10","5","344"
"0.993","3.3","0.75","10","6","345"
"0.9942","3.3","0.4","9.6","6","346"
"0.9906","3.4","0.51","11.2","7","347"
"0.9995","3.2","0.44","8.8","6","348"
"0.998","3.2","0.5","10","6","349"
"0.997","3.2","0.47","10","5","350"
"0.9914","3.3","0.74","11.4","7","351"
"0.992","3","0.3","11.9","7","352"
"0.9924","3.1","0.51","9.6","6","353"
"0.992","3","0.3","11.9","7","354"
"0.9937","3.3","0.57","9.6","6","355"
"0.9978","2.9","0.38","9","6","356"
"0.9978","2.9","0.38","9","6","357"
"0.9927","3.2","0.78","9.5","6","358"
"0.994","3","0.42","10.4","6","359"
"0.9935","3.2","0.59","10.6","6","360"
"0.9968","3.3","0.5","10.2","6","361"
"0.9941","3.2","0.43","8.9","5","362"
"0.9942","3.4","0.39","9.7","6","363"
"0.9978","2.9","0.38","9","6","364"
"0.9923","3.5","0.42","11.4","7","365"
"0.9912","3.4","0.71","12.3","7","366"
"0.9923","3.5","0.62","10.8","6","367"
"0.9927","3.1","0.45","9.4","6","368"
"0.9931","3.2","0.64","10.6","6","369"
"0.9941","3.2","0.29","11.6","5","370"
"0.9927","3.1","0.45","9.4","6","371"
"0.9931","3.2","0.64","10.6","6","372"
"0.9934","3.3","0.56","10","5","373"
"0.9936","3.1","0.51","9.2","6","374"
"0.9893","3.5","0.38","12.5","7","375"
"0.9893","3.5","0.38","12.5","7","376"
"0.9919","3.3","0.51","10.4","7","377"
"0.9924","3.2","0.46","10","7","378"
"0.9927","3.2","0.64","10","6","379"
"0.9919","3.3","0.51","10.4","7","380"
"0.9924","3.2","0.46","10","7","381"
"0.9975","3.1","0.52","9","6","382"
"0.9969","3.1","0.53","9.2","6","383"
"0.9936","3.1","0.51","9.2","6","384"
"0.991","3.4","0.39","11.3","7","385"
"0.9893","3.5","0.38","12.5","7","386"
"0.9906","3.5","0.39","10.8","7","387"
"0.9941","3.1","0.66","10.1","5","388"
"0.995","3.4","0.46","9.7","6","389"
"0.9983","3.2","0.61","9.3","7","390"
"0.9983","3.2","0.61","9.3","7","391"
"0.9916","3.1","0.46","10.6","5","392"
"0.9957","3.4","0.47","10.2","6","393"
"0.99","3.1","0.56","12.2","6","394"
"0.9976","3.2","0.44","8.8","5","395"
"0.992","3.2","0.41","10","5","396"
"0.9917","3.1","0.39","11.4","5","397"
"0.9917","3.5","0.5","11.4","6","398"
"0.9993","3.4","0.44","9.4","5","399"
"0.9908","3.3","0.41","11.7","6","400"
"0.9917","3.5","0.5","11.4","6","401"
"0.9976","3.2","0.44","8.8","5","402"
"0.9934","3.2","0.52","9.2","5","403"
"1","3.1","0.56","8.7","5","404"
"0.9918","3.2","0.66","12.6","6","405"
"0.992","3.2","0.41","10","5","406"
"0.9896","3.4","0.39","12.8","7","407"
"0.9932","3.2","0.51","9.4","5","408"
"0.992","3.3","0.53","10.3","6","409"
"0.9917","3.1","0.39","11.4","5","410"
"0.9999","3","0.47","9","6","411"
"0.998","3.3","0.79","9.6","6","412"
"0.9918","3.2","0.5","10.5","5","413"
"0.9918","3.2","0.5","10.5","5","414"
"0.9999","3","0.47","9","6","415"
"0.998","3.3","0.79","9.6","6","416"
"0.9927","3.2","0.33","9.8","6","417"
"0.9959","3.1","0.47","9","5","418"
"0.9927","3.2","0.33","9.8","6","419"
"0.9929","3.3","0.56","10.5","6","420"
"0.9898","3.2","0.37","12.7","7","421"
"0.9954","3.3","0.54","10.4","6","422"
"0.9954","3.3","0.54","10.4","6","423"
"0.9954","3.3","0.54","10.4","6","424"
"0.9954","3.3","0.52","10.5","7","425"
"0.9954","3.3","0.54","10.4","6","426"
"0.9954","3.3","0.54","10.4","6","427"
"0.9974","3.1","0.45","9.4","5","428"
"0.9936","3.1","0.46","9.1","5","429"
"0.9978","3.1","0.49","9.3","5","430"
"0.9974","3.1","0.45","9.4","5","431"
"0.9927","3.2","0.38","9.8","5","432"
"0.9934","3.2","0.61","9.9","7","433"
"0.9938","3.1","0.57","9.2","4","434"
"0.9922","3.4","0.47","12.1","8","435"
"0.992","3.4","0.49","12.2","7","436"
"0.9935","3.3","0.6","9.8","5","437"
"0.9906","3.4","0.64","12.4","8","438"
"0.9934","3.2","0.61","9.9","7","439"
"0.9934","3.3","0.54","9.2","5","440"
"0.9913","3.3","0.59","11.6","7","441"
"0.9938","3.3","0.69","10.4","6","442"
"0.9898","3.4","0.65","12.9","8","443"
"0.9975","3.3","0.54","9.3","6","444"
"0.9975","3.2","0.33","11","6","445"
"0.9937","3.2","0.4","11.5","3","446"
"0.9914","3.5","0.42","12.4","5","447"
"0.9982","3.4","0.53","9.8","6","448"
"0.9982","3.4","0.53","9.8","6","449"
"0.9929","3.5","0.56","10.5","7","450"
"0.9971","3","0.54","9.1","5","451"
"0.9921","3.2","0.44","10.1","5","452"
"0.9931","3.5","0.51","10.6","7","453"
"0.9924","3.4","0.51","10.5","7","454"
"0.9929","3.5","0.56","10.5","7","455"
"0.9982","3.4","0.53","9.8","6","456"
"0.9892","3.3","0.4","12.9","7","457"
"0.9956","3","0.52","9.5","5","458"
"0.9924","3.3","0.72","9.8","6","459"
"0.9971","3.4","0.5","8.5","5","460"
"0.9956","3","0.52","9.5","5","461"
"0.9982","3.2","0.45","9.3","5","462"
"0.9973","3.4","0.38","9.5","5","463"
"0.9932","3.2","0.39","9.4","6","464"
"0.9976","3.2","0.5","8.7","5","465"
"0.9962","3","0.46","8.9","5","466"
"0.9956","3.2","0.43","9.4","6","467"
"0.9932","3.2","0.39","9.4","6","468"
"0.9976","3.2","0.5","8.7","5","469"
"0.9992","3.1","0.52","9.6","5","470"
"0.9983","3","0.73","9.3","6","471"
"0.9937","3.1","0.76","10","5","472"
"0.99","3.3","0.45","12.5","6","473"
"0.9944","3.4","0.48","9.6","7","474"
"0.9938","3.2","0.36","9.4","6","475"
"0.9965","3","0.61","9.5","5","476"
"0.9893","3","0.39","12.4","7","477"
"0.9927","3.1","0.55","10.5","6","478"
"0.994","3","0.58","9.2","6","479"
"0.9928","3.3","0.56","10.4","6","480"
"0.9964","3.2","0.6","9.2","5","481"
"0.9917","3.3","0.51","10.6","6","482"
"0.9972","3.3","0.42","9.5","5","483"
"0.9964","3.2","0.6","9.2","5","484"
"0.9954","3.3","0.58","9.6","5","485"
"0.993","3.5","0.54","9.7","6","486"
"0.9928","3.5","0.51","9.7","6","487"
"0.9916","3.1","0.42","10.7","6","488"
"0.9936","3.3","0.68","10.5","6","489"
"0.9962","3.1","0.45","8.9","6","490"
"0.9899","3.1","0.46","12.1","6","491"
"0.9898","3.3","0.4","12.7","7","492"
"0.996","3.2","0.46","9.9","6","493"
"0.9907","3.2","0.64","11.4","6","494"
"0.994","3.4","0.58","10.7","6","495"
"0.9913","3.3","0.48","12.5","6","496"
"0.9976","3.1","0.49","8.6","4","497"
"0.9904","3.3","0.54","12.5","6","498"
"0.992","3.3","0.66","10","5","499"
"0.9976","3.1","0.49","8.6","4","500"
"0.999","3.1","0.49","9.5","6","501"
"0.9975","3.1","0.48","9.6","6","502"
"0.9937","3.2","0.62","9.9","6","503"
"0.9937","3.2","0.62","9.9","5","504"
"0.998","3.1","0.53","8.9","6","505"
"0.998","3.1","0.53","8.9","6","506"
"0.9944","3","0.52","8.8","5","507"
"0.9938","3.6","0.54","10","7","508"
"0.9907","3.4","0.44","12","6","509"
"0.9938","3.6","0.54","10","7","510"
"0.9921","3.2","0.42","10","6","511"
"0.9908","3.1","0.41","12.1","6","512"
"0.9931","3.2","0.59","11","6","513"
"0.9915","3.2","0.33","11.2","6","514"
"0.9952","3.2","0.39","10.3","7","515"
"0.9926","3.4","0.47","10.4","6","516"
"0.9934","3.1","0.45","9.1","5","517"
"0.992","3","0.6","10.4","6","518"
"0.9918","3.4","0.64","10.8","6","519"
"0.9942","3.2","0.4","11.7","5","520"
"0.9942","3.1","0.74","9.8","5","521"
"0.9942","3.1","0.74","9.8","5","522"
"0.9901","3","0.39","11.4","6","523"
"0.9898","3","0.38","11.2","6","524"
"0.9902","3.4","0.34","11.4","5","525"
"0.9934","3.1","0.45","9.2","6","526"
"0.9906","3","0.53","12.5","4","527"
"0.9898","3.4","0.44","12.6","6","528"
"0.9896","3.4","0.35","12.2","6","529"
"0.9922","3.6","0.45","11.2","6","530"
"0.9947","3.4","0.79","9.7","6","531"
"0.9945","3.1","0.4","9.3","5","532"
"0.9976","3","0.48","9","6","533"
"0.9976","3","0.48","9","6","534"
"0.9976","3","0.48","9","6","535"
"0.9987","3.1","0.51","9.1","5","536"
"0.9987","3.1","0.51","9.1","5","537"
"0.9976","3","0.48","9","6","538"
"0.992","3.3","0.54","10.4","5","539"
"0.9955","3.4","0.67","9.5","6","540"
"0.9953","3.5","0.55","11.4","4","541"
"0.9976","3.2","0.42","8.7","5","542"
"0.992","3.3","0.68","9.9","6","543"
"0.9952","3.2","0.62","9.9","6","544"
"0.9983","3.2","0.51","9","6","545"
"0.9933","3.5","0.58","10","6","546"
"0.9958","3.5","0.64","9.7","6","547"
"0.9922","3.3","0.49","11.8","6","548"
"0.9928","3.5","0.5","10.2","7","549"
"0.9976","3.2","0.42","8.7","5","550"
"0.9976","3.1","0.52","9.6","7","551"
"0.9916","2.9","0.37","11.3","7","552"
"0.9901","3","0.38","12.1","7","553"
"0.9976","3.1","0.52","9.6","7","554"
"0.9901","3","0.38","12.1","7","555"
"0.9916","2.9","0.37","11.3","7","556"
"0.9982","3","0.65","9.4","5","557"
"0.993","3.3","0.5","10.4","6","558"
"0.9969","3.3","0.39","9.5","5","559"
"0.991","3","0.76","12.3","6","560"
"0.9953","3.1","0.74","9.9","7","561"
"0.9924","3.2","0.48","10.1","5","562"
"0.9969","3.1","0.63","9.2","6","563"
"0.9928","3.1","0.77","10.4","7","564"
"0.9945","3.2","0.42","9.1","5","565"
"0.9967","3.1","0.47","10","6","566"
"0.9944","3.1","0.39","11.5","6","567"
"0.9928","3.1","0.61","9.8","5","568"
"0.9929","3.1","0.6","9.8","6","569"
"0.9948","3.2","0.69","9.4","6","570"
"0.9976","3.1","0.46","8.7","5","571"
"0.9912","3.3","0.41","11.6","7","572"
"0.9987","3","0.56","8.8","5","573"
"0.99","3.2","0.39","12.7","7","574"
"0.991","3.2","0.44","11.7","7","575"
"0.9933","3.1","0.5","10.2","6","576"
"0.9933","3.1","0.5","10.2","6","577"
"0.9899","3.2","0.38","12.7","7","578"
"0.9912","3.3","0.41","11.6","7","579"
"0.9912","3.4","0.38","12.3","7","580"
"0.9976","3.1","0.46","8.7","5","581"
"0.994","3.4","0.39","9.4","5","582"
"0.9947","3.1","0.35","10.1","6","583"
"0.9954","2.9","0.36","9.7","6","584"
"0.993","3.4","0.51","10.1","7","585"
"0.9954","2.9","0.36","9.7","6","586"
"0.9963","3.1","0.48","8.9","6","587"
"0.992","3.5","0.5","10.8","7","588"
"0.9926","3.4","0.49","10.8","7","589"
"0.995","3.2","0.58","9.5","6","590"
"0.9983","2.9","0.44","9.1","5","591"
"0.992","3.3","0.49","10.9","6","592"
"0.9968","3.2","0.52","9.4","5","593"
"0.9905","3","0.28","10.8","5","594"
"0.9904","3","0.29","10.8","5","595"
"0.9926","3.5","0.5","10.5","7","596"
"0.9968","3.2","0.52","9.4","5","597"
"0.9928","3.2","0.44","10.8","6","598"
"0.9949","3.4","0.48","10.5","8","599"
"0.9909","3.1","0.68","11.5","7","600"
"0.9937","3.1","0.54","9.4","6","601"
"0.9914","2.9","0.38","10.8","6","602"
"0.9905","3","0.28","10.8","5","603"
"0.9904","3","0.29","10.8","5","604"
"0.9924","3","0.61","9.8","6","605"
"0.9924","3","0.61","9.8","6","606"
"0.9965","3.4","0.38","9.6","5","607"
"0.9965","3.4","0.38","9.6","5","608"
"0.9993","3.3","0.48","9.5","5","609"
"0.9965","3.5","0.69","10.7","6","610"
"0.9908","3.3","0.65","12.4","8","611"
"0.992","3.1","0.39","11.1","6","612"
"0.9978","3","0.38","8.8","5","613"
"0.9978","3","0.36","8.7","5","614"
"0.9978","3","0.36","8.7","5","615"
"0.9978","3","0.38","8.8","5","616"
"0.9912","3.2","0.65","11.7","7","617"
"0.9928","3.2","0.5","10.9","6","618"
"0.9928","3.2","0.5","10.8","6","619"
"0.993","3.1","0.5","9.6","6","620"
"0.9993","3.2","0.58","9","5","621"
"0.9965","2.9","0.5","9","5","622"
"0.9937","3.4","0.6","10.4","6","623"
"0.9913","3.2","0.51","11.4","5","624"
