"fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","Wine_ID"
"6.8","0.19","0.36","1.9","0.035","30","96","139"
"8.1","0.28","0.39","1.9","0.029","18","79","140"
"6.3","0.31","0.34","2.2","0.045","20","77","141"
"7.1","0.37","0.67","10.5","0.045","49","155","142"
"7.9","0.21","0.4","1.2","0.039","38","107","143"
"8.5","0.21","0.41","4.3","0.036","24","99","144"
"8.1","0.2","0.4","2","0.037","19","87","145"
"6.3","0.255","0.37","1.1","0.04","37","114","146"
"5.6","0.16","0.27","1.4","0.044","53","168","147"
"6.4","0.595","0.14","5.2","0.058","15","97","148"
"6.3","0.34","0.33","4.6","0.034","19","80","149"
"6.9","0.25","0.3","4.1","0.054","23","116","150"
"7.9","0.22","0.38","8","0.043","46","152","151"
"7.6","0.18","0.46","10.2","0.055","58","135","152"
"6.9","0.25","0.3","4.1","0.054","23","116","153"
"7.2","0.18","0.41","1.2","0.048","41","97","154"
"8.2","0.23","0.4","7.5","0.049","12","76","155"
"7.4","0.24","0.42","14","0.066","48","198","156"
"7.4","0.24","0.42","14","0.066","48","198","157"
"6.1","0.32","0.24","1.5","0.036","38","124","158"
"5.2","0.44","0.04","1.4","0.036","43","119","159"
"5.2","0.44","0.04","1.4","0.036","43","119","160"
"6.1","0.32","0.24","1.5","0.036","38","124","161"
"6.4","0.22","0.56","14.5","0.055","27","159","162"
"6.3","0.36","0.3","4.8","0.049","14","85","163"
"7.4","0.24","0.42","14","0.066","48","198","164"
"6.7","0.24","0.35","13.1","0.05","64","205","165"
"7","0.23","0.36","13","0.051","72","177","166"
"8.4","0.27","0.46","8.7","0.048","39","197","167"
"6.7","0.46","0.18","2.4","0.034","25","98","168"
"7.5","0.29","0.31","8.95","0.055","20","151","169"
"9.8","0.42","0.48","9.85","0.034","5","110","170"
"7.1","0.3","0.46","1.5","0.066","29","133","171"
"7.9","0.19","0.45","1.5","0.045","17","96","172"
"7.6","0.48","0.37","0.8","0.037","4","100","173"
"6.3","0.22","0.43","4.55","0.038","31","130","174"
"7.5","0.27","0.31","17.7","0.051","33","173","175"
"6.9","0.23","0.4","7.5","0.04","50","151","176"
"7.2","0.32","0.47","5.1","0.044","19","65","177"
"5.9","0.23","0.3","12.9","0.054","57","170","178"
"6","0.67","0.07","1.2","0.06","9","108","179"
"6.4","0.25","0.32","5.5","0.049","41","176","180"
"6.4","0.33","0.31","5.5","0.048","42","173","181"
"7.1","0.34","0.15","1.2","0.053","61","183","182"
"6.8","0.28","0.4","22","0.048","48","167","183"
"6.9","0.27","0.4","14","0.05","64","227","184"
"6.8","0.26","0.56","11.9","0.043","64","226","185"
"6.8","0.29","0.56","11.9","0.043","66","230","186"
"6.7","0.24","0.41","9.4","0.04","49","166","187"
"5.9","0.3","0.23","4.2","0.038","42","119","188"
"6.8","0.53","0.35","3.8","0.034","26","109","189"
"6.5","0.28","0.28","8.5","0.047","54","210","190"
"6.6","0.28","0.28","8.5","0.052","55","211","191"
"6.8","0.28","0.4","22","0.048","48","167","192"
"6.8","0.28","0.36","8","0.045","28","123","193"
"6.6","0.15","0.34","5.1","0.055","34","125","194"
"6.4","0.29","0.44","3.6","0.2","75","181","195"
"6.4","0.3","0.45","3.5","0.197","76","180","196"
"6.4","0.29","0.44","3.6","0.197","75","183","197"
"6.8","0.26","0.24","7.8","0.052","54","214","198"
"7.1","0.32","0.24","13.1","0.05","52","204","199"
"6.8","0.26","0.24","7.8","0.052","54","214","200"
"6.8","0.27","0.26","16.1","0.049","55","196","201"
"7.1","0.32","0.24","13.1","0.05","52","204","202"
"6.9","0.54","0.32","13.2","0.05","53","236","203"
"6.8","0.26","0.34","13.9","0.034","39","134","204"
"5.8","0.28","0.35","2.3","0.053","36","114","205"
"6.4","0.21","0.5","11.6","0.042","45","153","206"
"7","0.16","0.32","8.3","0.045","38","126","207"
"10.2","0.44","0.88","6.2","0.049","20","124","208"
"6.8","0.57","0.29","2.2","0.04","15","77","209"
"6.1","0.4","0.31","0.9","0.048","23","170","210"
"5.6","0.245","0.25","9.7","0.032","12","68","211"
"6.8","0.18","0.38","1.4","0.038","35","111","212"
"7","0.16","0.32","8.3","0.045","38","126","213"
"6.7","0.13","0.29","5.3","0.051","31","122","214"
"6.2","0.25","0.25","1.4","0.03","35","105","215"
"5.8","0.26","0.24","9.2","0.044","55","152","216"
"7.5","0.27","0.36","7","0.036","45","164","217"
"5.8","0.26","0.24","9.2","0.044","55","152","218"
"5.7","0.28","0.24","17.5","0.044","60","167","219"
"7.5","0.23","0.36","7","0.036","43","161","220"
"7.5","0.27","0.36","7","0.036","45","164","221"
"7.2","0.685","0.21","9.5","0.07","33","172","222"
"6.2","0.25","0.25","1.4","0.03","35","105","223"
"6.5","0.19","0.3","0.8","0.043","33","144","224"
"6.3","0.495","0.22","1.8","0.046","31","140","225"
"7.1","0.24","0.41","17.8","0.046","39","145","226"
"6.4","0.17","0.32","2.4","0.048","41","200","227"
"7.1","0.25","0.32","10.3","0.041","66","272","228"
"6.4","0.17","0.32","2.4","0.048","41","200","229"
"7.1","0.24","0.41","17.8","0.046","39","145","230"
"6.8","0.64","0.08","9.7","0.062","26","142","231"
"8.3","0.28","0.4","7.8","0.041","38","194","232"
"8.2","0.27","0.39","7.8","0.039","49","208","233"
"7.2","0.23","0.38","14.3","0.058","55","194","234"
"7.2","0.23","0.38","14.3","0.058","55","194","235"
"7.2","0.23","0.38","14.3","0.058","55","194","236"
"7.2","0.23","0.38","14.3","0.058","55","194","237"
"6.8","0.52","0.32","13.2","0.044","54","221","238"
"7","0.26","0.59","1.4","0.037","40","120","239"
"6.2","0.25","0.21","15.55","0.039","28","159","240"
"7.3","0.32","0.23","13.7","0.05","49","197","241"
"7.7","0.31","0.26","7.8","0.031","23","90","242"
"7.1","0.21","0.37","2.4","0.026","23","100","243"
"6.8","0.24","0.34","2.7","0.047","64.5","218.5","244"
"6.9","0.4","0.56","11.2","0.043","40","142","245"
"6.1","0.18","0.36","2","0.038","20","249.5","246"
"6.8","0.21","0.27","2.1","0.03","26","139","247"
"5.8","0.2","0.27","1.4","0.031","12","77","248"
"5.6","0.19","0.26","1.4","0.03","12","76","249"
"6.1","0.41","0.14","10.4","0.037","18","119","250"
"5.9","0.21","0.28","4.6","0.053","40","199","251"
"8.5","0.26","0.21","16.2","0.074","41","197","252"
"6.9","0.4","0.56","11.2","0.043","40","142","253"
"5.8","0.24","0.44","3.5","0.029","5","109","254"
"5.8","0.24","0.39","1.5","0.054","37","158","255"
"6.7","0.26","0.39","1.1","0.04","45","147","256"
"6.3","0.35","0.3","5.7","0.035","8","97","257"
"6.3","0.35","0.3","5.7","0.035","8","97","258"
"6.4","0.23","0.39","1.8","0.032","23","118","259"
"5.8","0.36","0.38","0.9","0.037","3","75","260"
"6.9","0.115","0.35","5.4","0.048","36","108","261"
"6.9","0.29","0.4","19.45","0.043","36","156","262"
"6.9","0.28","0.4","8.2","0.036","15","95","263"
"7.2","0.29","0.4","13.6","0.045","66","231","264"
"6.2","0.24","0.35","1.2","0.038","22","167","265"
"6.9","0.29","0.4","19.45","0.043","36","156","266"
"6.9","0.32","0.26","8.3","0.053","32","180","267"
"5.3","0.58","0.07","6.9","0.043","34","149","268"
"5.3","0.585","0.07","7.1","0.044","34","145","269"
"5.4","0.59","0.07","7","0.045","36","147","270"
"6.9","0.32","0.26","8.3","0.053","32","180","271"
"5.2","0.6","0.07","7","0.044","33","147","272"
"5.8","0.25","0.26","13.1","0.051","44","148","273"
"6.6","0.58","0.3","5.1","0.057","30","123","274"
"7","0.29","0.54","10.7","0.046","59","234","275"
"6.6","0.19","0.41","8.9","0.046","51","169","276"
"6.7","0.2","0.41","9.1","0.044","50","166","277"
"7.7","0.26","0.4","1.1","0.042","9","60","278"
"6.8","0.32","0.34","1.2","0.044","14","67","279"
"7","0.3","0.49","4.7","0.036","17","105","280"
"7","0.24","0.36","2.8","0.034","22","112","281"
"6.1","0.31","0.58","5","0.039","36","114","282"
"6.8","0.44","0.37","5.1","0.047","46","201","283"
"6.7","0.34","0.3","15.6","0.054","51","196","284"
"7.1","0.35","0.24","15.4","0.055","46","198","285"
"7.3","0.32","0.25","7.2","0.056","47","180","286"
"6.5","0.28","0.33","15.7","0.053","51","190","287"
"7.2","0.23","0.39","14.2","0.058","49","192","288"
"7.2","0.23","0.39","14.2","0.058","49","192","289"
"7.2","0.23","0.39","14.2","0.058","49","192","290"
"7.2","0.23","0.39","14.2","0.058","49","192","291"
"5.9","0.15","0.31","5.8","0.041","53","155","292"
"7.4","0.28","0.42","19.8","0.066","53","195","293"
"6.2","0.28","0.22","7.3","0.041","26","157","294"
"9.1","0.59","0.38","1.6","0.066","34","182","295"
"6.3","0.33","0.27","1.2","0.046","34","175","296"
"8.3","0.39","0.7","10.6","0.045","33","169","297"
"7.2","0.19","0.46","3.8","0.041","82","187","298"
"7.5","0.17","0.44","11.3","0.046","65","146","299"
"6.7","0.17","0.5","2.1","0.043","27","122","300"
"6.1","0.41","0","1.6","0.063","36","87","301"
"8.3","0.2","0.35","0.9","0.05","12","74","302"
"6.1","0.41","0","1.6","0.063","36","87","303"
"6","0.29","0.21","1.3","0.055","42","168","304"
"7.3","0.41","0.24","6.8","0.057","41","163","305"
"7.3","0.41","0.24","6.8","0.057","41","163","306"
"7.2","0.43","0.24","6.7","0.058","40","163","307"
"7.3","0.4","0.24","6.7","0.058","41","166","308"
"6.2","0.33","0.27","4.9","0.036","30","134","309"
"6.2","0.31","0.26","4.8","0.037","36","148","310"
"6.1","0.36","0.27","2.1","0.035","16","100","311"
"5","0.55","0.14","8.3","0.032","35","164","312"
"7.8","0.25","0.41","3.7","0.042","37","149","313"
"5.7","0.36","0.21","6.7","0.038","51","166","314"
"5.8","0.34","0.21","6.6","0.04","50","167","315"
"6.8","0.28","0.6","1.1","0.132","42","127","316"
"6.8","0.25","0.34","4.7","0.031","34","134","317"
"6.6","0.24","0.35","7.7","0.031","36","135","318"
"5.9","0.3","0.47","7.85","0.03","19","133","319"
"6.1","0.125","0.25","3.3","0.04","10","69","320"
"6","0.1","0.24","1.1","0.041","15","65","321"
"6.6","0.24","0.35","7.7","0.031","36","135","322"
"6.8","0.25","0.34","4.7","0.031","34","134","323"
"6.8","0.28","0.44","9.3","0.031","35","137","324"
"8.3","0.41","0.51","2","0.046","11","207","325"
"7.5","0.27","0.31","5.8","0.057","131","313","326"
"7.9","0.26","0.41","15.15","0.04","38","216","327"
"6.4","0.34","0.23","6.3","0.039","37","143","328"
"6.5","0.28","0.35","15.4","0.042","55","195","329"
"7.2","0.21","0.41","1.3","0.036","33","85","330"
"6.4","0.32","0.35","4.8","0.03","34","101","331"
"6.8","0.24","0.34","4.6","0.032","37","135","332"
"6.3","0.23","0.3","1.8","0.033","16","91","333"
"6.5","0.28","0.34","9.9","0.038","30","133","334"
"5.6","0.26","0.26","5.7","0.031","12","80","335"
"6.3","0.23","0.3","1.8","0.033","16","91","336"
"6.3","0.23","0.33","1.5","0.036","15","105","337"
"5.8","0.27","0.27","12.3","0.045","55","170","338"
"5.9","0.26","0.4","1.3","0.047","12","139","339"
"6.6","0.18","0.35","1.5","0.049","49","141","340"
"7.4","0.2","0.43","7.8","0.045","27","153","341"
"8","0.24","0.36","1.5","0.047","17","129","342"
"6.4","0.26","0.42","9.7","0.044","30","140","343"
"5.4","0.31","0.47","3","0.053","46","144","344"
"5.4","0.29","0.47","3","0.052","47","145","345"
"7.1","0.145","0.33","4.6","0.05","33","131","346"
"5.6","0.34","0.1","1.3","0.031","20","68","347"
"6.7","0.19","0.41","15.6","0.056","75","155","348"
"7.8","0.18","0.46","13.6","0.052","38","118","349"
"7.6","0.17","0.45","11.2","0.054","56","137","350"
"6.3","0.12","0.36","2.1","0.044","47","146","351"
"7.3","0.33","0.4","6.85","0.038","32","138","352"
"5.5","0.335","0.3","2.5","0.071","27","128","353"
"7.3","0.33","0.4","6.85","0.038","32","138","354"
"5.8","0.4","0.42","4.4","0.047","38.5","245","355"
"7.3","0.22","0.37","14.3","0.063","48","191","356"
"7.3","0.22","0.37","14.3","0.063","48","191","357"
"6.1","0.36","0.33","1.1","0.05","24","169","358"
"10","0.2","0.39","1.4","0.05","19","152","359"
"6.9","0.24","0.34","4.7","0.04","43","161","360"
"6.4","0.24","0.32","14.9","0.047","54","162","361"
"7.1","0.365","0.14","1.2","0.055","24","84","362"
"6.8","0.15","0.3","5.3","0.05","40","127","363"
"7.3","0.22","0.37","14.3","0.063","48","191","364"
"6.8","0.16","0.4","2.3","0.037","18","102","365"
"6","0.26","0.32","3.5","0.028","29","113","366"
"6","0.18","0.27","1.5","0.089","40","143","367"
"6.9","0.33","0.21","1","0.053","39","148","368"
"7.7","0.29","0.48","2.3","0.049","36","178","369"
"7.1","0.39","0.35","12.5","0.044","26","72","370"
"6.9","0.33","0.21","1","0.053","39","148","371"
"7.7","0.29","0.48","2.3","0.049","36","178","372"
"6.6","0.905","0.19","0.8","0.048","17","204","373"
"7.2","0.27","0.27","2.4","0.048","30","149","374"
"5.1","0.33","0.22","1.6","0.027","18","89","375"
"5.1","0.33","0.22","1.6","0.027","18","89","376"
"6.4","0.31","0.28","1.5","0.037","12","119","377"
"7.3","0.2","0.44","1.4","0.045","21","98","378"
"5.7","0.32","0.5","2.6","0.049","17","155","379"
"6.4","0.31","0.28","1.5","0.037","12","119","380"
"7.3","0.2","0.44","1.4","0.045","21","98","381"
"7.2","0.28","0.26","12.5","0.046","48","179","382"
"7.5","0.35","0.28","9.6","0.051","26","157","383"
"7.2","0.27","0.27","2.4","0.048","30","149","384"
"6","0.36","0.39","3.2","0.027","20","125","385"
"5.1","0.33","0.22","1.6","0.027","18","89","386"
"5","0.17","0.56","1.5","0.026","24","115","387"
"6.3","0.39","0.35","5.9","0.04","82.5","260","388"
"6.7","0.21","0.32","5.4","0.047","29","140","389"
"7","0.3","0.38","14.9","0.032","60","181","390"
"7","0.3","0.38","14.9","0.032","60","181","391"
"6.5","0.36","0.32","1.1","0.031","13","66","392"
"6.1","0.55","0.15","9.8","0.031","19","125","393"
"7.3","0.24","0.43","2","0.021","20","69","394"
"6.8","0.37","0.51","11.8","0.044","62","163","395"
"6.8","0.27","0.12","1.3","0.04","87","168","396"
"8.2","0.28","0.42","1.8","0.031","30","93","397"
"6.3","0.2","0.4","1.5","0.037","35","107","398"
"5.9","0.26","0.27","18.2","0.048","52","168","399"
"6.4","0.19","0.42","2.9","0.032","32","83","400"
"6.3","0.2","0.4","1.5","0.037","35","107","401"
"6.8","0.37","0.51","11.8","0.044","62","163","402"
"6.1","0.35","0.07","1.4","0.069","22","108","403"
"7.1","0.27","0.31","18.2","0.046","55","252","404"
"6.8","0.22","0.31","6.3","0.035","33","170","405"
"6.8","0.27","0.12","1.3","0.04","87","168","406"
"5.8","0.28","0.34","4","0.031","40","99","407"
"6.9","0.49","0.24","1.2","0.049","13","125","408"
"6.3","0.14","0.39","1.2","0.044","26","116","409"
"8.2","0.28","0.42","1.8","0.031","30","93","410"
"7.2","0.25","0.39","18.95","0.038","42","155","411"
"7.3","0.28","0.36","12.7","0.04","38","140","412"
"7.2","0.19","0.39","1.2","0.036","32","85","413"
"7.2","0.19","0.39","1.2","0.036","32","85","414"
"7.2","0.25","0.39","18.95","0.038","42","155","415"
"7.3","0.28","0.36","12.7","0.04","38","140","416"
"7.4","0.21","0.27","1.2","0.041","27","99","417"
"6.8","0.26","0.22","7.7","0.047","57","210","418"
"7.4","0.21","0.27","1.2","0.041","27","99","419"
"7.4","0.31","0.28","1.6","0.05","33","137","420"
"7","0.22","0.31","2.7","0.03","41","136","421"
"7","0.21","0.28","8.7","0.045","37","222","422"
"7","0.21","0.28","8.6","0.045","37","221","423"
"7","0.21","0.28","8.6","0.045","37","221","424"
"6.9","0.23","0.38","8.3","0.047","47","162","425"
"7","0.21","0.28","8.7","0.045","37","222","426"
"7","0.21","0.28","8.6","0.045","37","221","427"
"6.8","0.29","0.5","13.3","0.053","48","194","428"
"7.8","0.21","0.27","1.2","0.051","20","89","429"
"7.1","0.31","0.47","13.6","0.056","54","197","430"
"6.8","0.29","0.5","13.3","0.053","48","194","431"
"6.4","0.34","0.1","1.1","0.048","19","84","432"
"7.4","0.155","0.34","2.3","0.045","73.5","214","433"
"7.2","0.55","0.09","1.5","0.108","16","151","434"
"7","0.23","0.36","7.1","0.028","31","104","435"
"6.9","0.2","0.37","6.2","0.027","24","97","436"
"6.1","0.28","0.32","2.5","0.042","23","218.5","437"
"6.6","0.16","0.32","1.4","0.035","49","186","438"
"7.4","0.155","0.34","2.3","0.045","73.5","214","439"
"6.2","0.35","0.04","1.2","0.06","23","108","440"
"6.7","0.22","0.37","1.6","0.028","24","102","441"
"6.1","0.38","0.2","6.6","0.033","25","137","442"
"6","0.25","0.28","2.2","0.026","54","126","443"
"6.6","0.52","0.44","12.2","0.048","54","245","444"
"6.9","0.24","0.36","20.8","0.031","40","139","445"
"7.1","0.32","0.32","11","0.038","16","66","446"
"5.8","0.28","0.27","2.6","0.054","30","156","447"
"6.5","0.41","0.24","14","0.048","24","113","448"
"6.5","0.41","0.24","14","0.048","24","113","449"
"6.4","0.28","0.29","1.6","0.052","34","127","450"
"7.2","0.6","0.2","9.9","0.07","21","174","451"
"6.1","0.2","0.25","1.2","0.038","34","128","452"
"5.9","0.46","0.14","2.7","0.042","27","160","453"
"6","0.27","0.27","1.6","0.046","32","113","454"
"6.4","0.28","0.29","1.6","0.052","34","127","455"
"6.4","0.41","0.24","14","0.048","24","113","456"
"6.3","0.23","0.31","1.5","0.022","11","82","457"
"7.1","0.21","0.27","8.6","0.056","26","111","458"
"6","0.37","0.32","1","0.053","31","218.5","459"
"6.1","0.43","0.35","9.1","0.059","83","249","460"
"7.1","0.21","0.27","8.6","0.056","26","111","461"
"7","0.25","0.29","15.2","0.047","40","171","462"
"5.9","0.25","0.19","12.4","0.047","50","162","463"
"6.8","0.32","0.21","2.2","0.044","15","68","464"
"7.2","0.39","0.62","11","0.047","66","178","465"
"6.3","0.21","0.58","10","0.081","34","126","466"
"7","0.14","0.32","9","0.039","54","141","467"
"6.8","0.32","0.21","2.2","0.044","15","68","468"
"7.2","0.39","0.62","11","0.047","66","178","469"
"7.2","0.29","0.53","18.15","0.047","59","182","470"
"8.6","0.37","0.7","12.15","0.039","21","158","471"
"6.5","0.38","0.34","3.4","0.036","34","200","472"
"6.6","0.24","0.29","2","0.023","19","86","473"
"7","0.17","0.31","4.8","0.034","34","132","474"
"5.5","0.16","0.22","4.5","0.03","30","102","475"
"7","0.24","0.51","11","0.029","55","227","476"
"7.4","0.28","0.36","1.1","0.028","42","105","477"
"7","0.22","0.28","1.5","0.037","29","115","478"
"7.1","0.55","0.13","1.7","0.073","21","165","479"
"6.3","0.22","0.33","1.7","0.041","67","164","480"
"6.7","0.47","0.34","8.9","0.043","31","172","481"
"5.9","0.36","0.41","1.3","0.047","45","104","482"
"5.8","0.25","0.24","13.3","0.044","41","137","483"
"6.7","0.47","0.34","8.9","0.043","31","172","484"
"6.2","0.37","0.3","6.6","0.346","79","200","485"
"6.2","0.18","0.38","1.5","0.028","36","117","486"
"6","0.16","0.37","1.5","0.025","43","117","487"
"6.6","0.34","0.28","1.3","0.035","32","90","488"
"7.4","0.29","0.29","1.6","0.045","53","180","489"
"7.4","0.26","0.31","7.6","0.047","52","177","490"
"7","0.28","0.36","1","0.035","8","70","491"
"7.1","0.23","0.39","1.6","0.032","12","65","492"
"7.8","0.19","0.26","8.9","0.039","42","182","493"
"6.3","0.19","0.28","1.8","0.022","28","158","494"
"6.8","0.2","0.38","4.7","0.04","27","103","495"
"5.7","0.44","0.13","7","0.025","28","173","496"
"7.2","0.4","0.62","10.8","0.041","70","189","497"
"6.8","0.23","0.32","1.6","0.026","43","147","498"
"5.7","0.335","0.34","1","0.04","13","174","499"
"7.2","0.4","0.62","10.8","0.041","70","189","500"
"7.2","0.28","0.54","16.7","0.045","54","200","501"
"6.8","0.19","0.58","14.2","0.038","51","164","502"
